ID	num_scaff_leaves	num_synth_leaves	num_splits	num_informative_input_trees	num_noninformative_overlapping_input_trees	inf_tree_ids	noninf_tree_ids
ott1028017	7	12	24	6	4	tree_ot_2879@tree1.tre,tree_ot_2179@tree1.tre,tree_pg_2913@tree6742.tre,tree_pg_1586@tree3208.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	tree_ot_1195@tree1.tre,tree_ot_290@tree1.tre,tree_ot_2770@tree1.tre,TAXONOMY
ott1028828	207	368	602	16	4	tree_ot_2019@tree35.tre,tree_ot_2312@tree1.tre,tree_ot_2085@tree1.tre,tree_ot_2765@tree1.tre,tree_ot_3077@tree1.tre,tree_ot_2879@tree1.tre,tree_ot_2018@tree8.tre,tree_ot_533@tree2.tre,tree_ot_773@tree1.tre,tree_pg_2913@tree6741.tre,tree_ot_116@tree1.tre,tree_ot_867@tree2.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,tree_ot_2770@tree1.tre,TAXONOMY	tree_ot_2307@tree3.tre,tree_ot_1055@tree1.tre,tree_ot_500@tree1.tre,tree_ot_531@tree1.tre
ott1028829	2	435	0	0	19		tree_ot_2019@tree35.tre,tree_ot_2312@tree1.tre,tree_ot_2307@tree3.tre,tree_ot_2085@tree1.tre,tree_ot_2765@tree1.tre,tree_ot_3077@tree1.tre,tree_ot_2879@tree1.tre,tree_ot_2018@tree8.tre,tree_ot_1055@tree1.tre,tree_ot_773@tree1.tre,tree_ot_500@tree1.tre,tree_ot_531@tree1.tre,tree_pg_2913@tree6741.tre,tree_ot_214@tree1.tre,tree_ot_116@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,tree_ot_2770@tree1.tre,TAXONOMY
ott1028835	2	8	0	0	14		tree_ot_2312@tree1.tre,tree_ot_2307@tree3.tre,tree_ot_2765@tree1.tre,tree_ot_3077@tree1.tre,tree_ot_2879@tree1.tre,tree_ot_2018@tree8.tre,tree_ot_1055@tree1.tre,tree_ot_500@tree1.tre,tree_ot_214@tree1.tre,tree_pg_2416@tree3.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,tree_ot_2770@tree1.tre,TAXONOMY
ott1030674	2	2	0	0	9		tree_ot_2314@tree1.tre,tree_ot_2312@tree1.tre,tree_ot_2765@tree1.tre,tree_ot_2879@tree1.tre,tree_ot_152@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,tree_ot_2770@tree1.tre,TAXONOMY
ott1031170	2	2	0	0	7		tree_ot_2019@tree12.tre,tree_ot_2179@tree1.tre,tree_ot_2182@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,tree_ot_2770@tree1.tre,TAXONOMY
ott1031587	2	2	0	0	12		tree_ot_2312@tree1.tre,tree_ot_2146@tree1.tre,tree_ot_2765@tree1.tre,tree_ot_3077@tree1.tre,tree_ot_2879@tree1.tre,tree_ot_2013@tree8.tre,tree_ot_290@tree1.tre,tree_ot_531@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,tree_ot_2770@tree1.tre,TAXONOMY
ott1031937	3	4	0	0	6		tree_ot_2019@tree14.tre,tree_ot_2143@tree1.tre,tree_ot_2879@tree1.tre,tree_pg_2692@tree6245.tre,tree_ot_2770@tree1.tre,TAXONOMY
ott1032057	3	8	0	0	11		tree_ot_2762@tree4.tre,tree_ot_2228@tree1.tre,tree_ot_2879@tree1.tre,tree_ot_1001@tree1.tre,tree_ot_655@tree1.tre,tree_pg_2913@tree6741.tre,tree_pg_2444@tree6526.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,tree_ot_2770@tree1.tre,TAXONOMY
ott1032064	5	5	4	2	6	tree_ot_2228@tree1.tre,tree_ot_2879@tree1.tre	tree_ot_2758@tree1.tre,tree_pg_2444@tree6526.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,tree_ot_2770@tree1.tre,TAXONOMY
ott1032639	4	4	9	3	6	tree_ot_2015@tree5.tre,tree_ot_3077@tree1.tre,tree_ot_2879@tree1.tre	tree_ot_290@tree1.tre,tree_ot_841@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,tree_ot_2770@tree1.tre,TAXONOMY
ott1034651	2	3	0	0	8		tree_ot_2381@tree1.tre,tree_ot_2879@tree1.tre,tree_ot_2186@tree1.tre,tree_pg_1887@tree6629.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,tree_ot_2770@tree1.tre,TAXONOMY
ott1035862	4	15	5	2	6	tree_ot_2381@tree1.tre,tree_ot_809@tree2.tre	tree_ot_2879@tree1.tre,tree_ot_2186@tree1.tre,tree_pg_2913@tree6741.tre,tree_ot_521@tree1.tre,tree_ot_2770@tree1.tre,TAXONOMY
ott1036004	2	2	0	0	8		tree_ot_2015@tree5.tre,tree_ot_3077@tree1.tre,tree_ot_2879@tree1.tre,tree_ot_290@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,tree_ot_2770@tree1.tre,TAXONOMY
ott1036185	201	538	847	15	3	tree_ot_2381@tree1.tre,tree_ot_2312@tree1.tre,tree_ot_2307@tree3.tre,tree_ot_2765@tree1.tre,tree_ot_3077@tree1.tre,tree_ot_2879@tree1.tre,tree_ot_2018@tree8.tre,tree_ot_1055@tree1.tre,tree_ot_500@tree1.tre,tree_ot_2186@tree1.tre,tree_pg_1887@tree6629.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,tree_ot_2770@tree1.tre,TAXONOMY	tree_ot_531@tree1.tre,tree_pg_2913@tree6741.tre,tree_ot_214@tree1.tre
ott1039520	4	4	21	7	8	tree_ot_3077@tree1.tre,tree_ot_2879@tree1.tre,tree_ot_2154@tree1.tre,tree_ot_1214@tree1.tre,tree_ot_837@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	tree_ot_2312@tree1.tre,tree_ot_2765@tree1.tre,tree_ot_2018@tree8.tre,tree_ot_1055@tree1.tre,tree_ot_500@tree1.tre,tree_ot_531@tree1.tre,tree_ot_2770@tree1.tre,TAXONOMY
ott1040400	9	18	28	4	2	tree_ot_2879@tree1.tre,tree_pg_2853@tree6624.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	tree_ot_2770@tree1.tre,TAXONOMY
ott1040900	27	43	61	4	10	tree_ot_2879@tree1.tre,tree_ot_121@tree7.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	tree_ot_2312@tree1.tre,tree_ot_2765@tree1.tre,tree_ot_3077@tree1.tre,tree_ot_2018@tree8.tre,tree_ot_1055@tree1.tre,tree_ot_500@tree1.tre,tree_ot_531@tree1.tre,tree_pg_2913@tree6741.tre,tree_ot_2770@tree1.tre,TAXONOMY
ott1040908	3	11	16	8	8	tree_ot_3077@tree1.tre,tree_ot_2879@tree1.tre,tree_ot_2018@tree8.tre,tree_ot_2154@tree1.tre,tree_ot_1214@tree1.tre,tree_ot_837@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	tree_ot_2312@tree1.tre,tree_ot_2765@tree1.tre,tree_ot_1055@tree1.tre,tree_ot_500@tree1.tre,tree_ot_531@tree1.tre,tree_pg_2913@tree6741.tre,tree_ot_2770@tree1.tre,TAXONOMY
ott1041027	45	56	133	7	9	tree_ot_2015@tree5.tre,tree_ot_3077@tree1.tre,tree_ot_2879@tree1.tre,tree_ot_2197@tree2.tre,tree_pg_2890@tree6701.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	tree_ot_2312@tree1.tre,tree_ot_2765@tree1.tre,tree_ot_2013@tree8.tre,tree_ot_2018@tree8.tre,tree_ot_1055@tree1.tre,tree_ot_290@tree1.tre,tree_ot_531@tree1.tre,tree_ot_2770@tree1.tre,TAXONOMY
ott1041422	3	3	8	4	7	tree_ot_2879@tree1.tre,tree_ot_121@tree7.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	tree_ot_2312@tree1.tre,tree_ot_2765@tree1.tre,tree_ot_3077@tree1.tre,tree_ot_2018@tree8.tre,tree_ot_1055@tree1.tre,tree_ot_2770@tree1.tre,TAXONOMY
ott1041423	2	4	0	0	12		tree_ot_2312@tree1.tre,tree_ot_2765@tree1.tre,tree_ot_3077@tree1.tre,tree_ot_2879@tree1.tre,tree_ot_2018@tree8.tre,tree_ot_1055@tree1.tre,tree_ot_531@tree1.tre,tree_ot_121@tree7.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,tree_ot_2770@tree1.tre,TAXONOMY
ott1041547	4569	11308	23120	145	1	tree_ot_2019@tree38.tre,tree_ot_2019@tree35.tre,tree_ot_2019@tree14.tre,tree_ot_2019@tree12.tre,tree_ot_3078@tree1.tre,tree_ot_2748@tree4.tre,tree_ot_2302@tree1.tre,tree_ot_2167@tree2.tre,tree_ot_2158@tree1.tre,tree_ot_2015@tree5.tre,tree_ot_2312@tree1.tre,tree_ot_2307@tree3.tre,tree_ot_2763@tree1.tre,tree_ot_2385@tree1.tre,tree_ot_2751@tree1.tre,tree_ot_2749@tree1.tre,tree_ot_2098@tree3.tre,tree_ot_2320@tree5.tre,tree_ot_2098@tree2.tre,tree_ot_2098@tree1.tre,tree_ot_2146@tree1.tre,tree_ot_2091@tree1.tre,tree_ot_2079@tree1.tre,tree_ot_2231@tree1.tre,tree_ot_2074@tree2.tre,tree_ot_2180@tree1.tre,tree_ot_2082@tree1.tre,tree_ot_2143@tree1.tre,tree_ot_2152@tree1.tre,tree_ot_2222@tree1.tre,tree_ot_2104@tree1.tre,tree_ot_2080@tree1.tre,tree_ot_2159@tree1.tre,tree_ot_2234@tree3.tre,tree_ot_2234@tree2.tre,tree_ot_2234@tree1.tre,tree_ot_2234@tree8.tre,tree_ot_2757@tree1.tre,tree_ot_2765@tree1.tre,tree_ot_3077@tree1.tre,tree_ot_2879@tree1.tre,tree_ot_2156@tree3.tre,tree_ot_2374@tree2.tre,tree_ot_2179@tree1.tre,tree_ot_2185@tree1.tre,tree_ot_2172@tree1.tre,tree_ot_2155@tree1.tre,tree_ot_2013@tree8.tre,tree_ot_2018@tree8.tre,tree_ot_2188@tree1.tre,tree_ot_2151@tree2.tre,tree_ot_2197@tree2.tre,tree_ot_2189@tree1.tre,tree_ot_2178@tree1.tre,tree_ot_2173@tree1.tre,tree_ot_1286@tree1.tre,tree_ot_2375@tree1.tre,tree_ot_2386@tree1.tre,tree_ot_1287@tree1.tre,tree_ot_1055@tree1.tre,tree_ot_1043@tree1.tre,tree_ot_2148@tree1.tre,tree_ot_1170@tree2.tre,tree_ot_1170@tree3.tre,tree_ot_1195@tree1.tre,tree_ot_2395@tree1.tre,tree_ot_2084@tree1.tre,tree_ot_520@tree1.tre,tree_ot_2190@tree1.tre,tree_ot_863@tree2.tre,tree_ot_2220@tree1.tre,tree_ot_749@tree1.tre,tree_ot_783@tree1.tre,tree_ot_1004@tree1.tre,tree_ot_2191@tree1.tre,tree_ot_891@tree1.tre,tree_ot_770@tree1.tre,tree_ot_290@tree1.tre,tree_ot_500@tree1.tre,tree_ot_531@tree1.tre,tree_ot_532@tree1.tre,tree_ot_768@tree1.tre,tree_ot_103@tree4.tre,tree_pg_2707@tree6281.tre,tree_pg_2829@tree6579.tre,tree_ot_169@tree1.tre,tree_pg_2924@tree6755.tre,tree_ot_173@tree1.tre,tree_pg_2913@tree6742.tre,tree_ot_111@tree1.tre,tree_ot_757@Tr70438.tre,tree_ot_412@Tr77157.tre,tree_pg_2913@tree6741.tre,tree_ot_214@tree1.tre,tree_pg_2796@tree6491.tre,tree_ot_2169@tree1.tre,tree_ot_110@tree1.tre,tree_pg_2874@tree6667.tre,tree_ot_101@tree1.tre,tree_pg_2600@tree6022.tre,tree_pg_2575@tree5974.tre,tree_pg_1586@tree3208.tre,tree_ot_179@tree1.tre,tree_ot_2168@tree1.tre,tree_pg_2692@tree6245.tre,tree_ot_2182@tree1.tre,tree_pg_1953@tree3977.tre,tree_pg_2332@tree4912.tre,tree_ot_172@tree2.tre,tree_ot_113@tree1.tre,tree_ot_172@tree3.tre,tree_pg_2015@tree4152.tre,tree_pg_2875@tree6668.tre,tree_pg_2591@tree6024.tre,tree_ot_866@tree1.tre,tree_ot_815@tree2.tre,tree_ot_853@tree1.tre,tree_ot_914@tree1.tre,tree_ot_848@tree1.tre,tree_pg_2858@tree6642.tre,tree_ot_171@tree1.tre,tree_ot_843@tree3.tre,tree_ot_854@tree1.tre,tree_ot_855@tree1.tre,tree_ot_841@tree1.tre,tree_ot_869@tree1.tre,tree_ot_847@tree1.tre,tree_pg_2454@tree5247.tre,tree_ot_894@tree1.tre,tree_ot_180@tree1.tre,tree_ot_832@tree1.tre,tree_pg_2105@tree4360.tre,tree_ot_836@tree1.tre,tree_ot_874@tree1.tre,tree_ot_831@tree2.tre,tree_pg_2890@tree6701.tre,tree_ot_782@Tr48736.tre,tree_pg_2404@tree5068.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,tree_ot_2019@tree10.tre,tree_ot_2019@tree9.tre,tree_ot_2019@tree15.tre,tree_ot_2770@tree1.tre,TAXONOMY	tree_ot_2083@tree1.tre
ott1041549	2	2	0	0	8		tree_ot_2015@tree5.tre,tree_ot_3077@tree1.tre,tree_ot_2879@tree1.tre,tree_ot_290@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,tree_ot_2770@tree1.tre,TAXONOMY
ott1044513	2	2	0	0	8		tree_ot_2015@tree5.tre,tree_ot_3077@tree1.tre,tree_ot_2879@tree1.tre,tree_ot_290@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,tree_ot_2770@tree1.tre,TAXONOMY
ott1044515	3	6	10	5	4	tree_ot_2015@tree5.tre,tree_ot_3077@tree1.tre,tree_ot_2879@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	tree_ot_290@tree1.tre,tree_ot_843@tree3.tre,tree_ot_2770@tree1.tre,TAXONOMY
ott1044949	6	6	19	4	2	tree_ot_2141@tree1.tre,tree_ot_2879@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	tree_ot_2770@tree1.tre,TAXONOMY
ott1050055	2	2	0	0	5		tree_ot_3077@tree1.tre,tree_ot_2879@tree1.tre,tree_ot_2154@tree1.tre,tree_ot_2770@tree1.tre,TAXONOMY
ott1050156	3	3	12	6	2	tree_ot_2145@tree2.tre,tree_ot_3077@tree1.tre,tree_ot_2879@tree1.tre,tree_ot_1968@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	tree_ot_2770@tree1.tre,TAXONOMY
ott1052338	2	2	0	0	10		tree_ot_2085@tree1.tre,tree_ot_3077@tree1.tre,tree_ot_2879@tree1.tre,tree_ot_773@tree1.tre,tree_ot_116@tree1.tre,tree_ot_867@tree2.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,tree_ot_2770@tree1.tre,TAXONOMY
ott1054558	11	15	28	5	13	tree_ot_2158@tree1.tre,tree_ot_2879@tree1.tre,tree_ot_520@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	tree_ot_2079@tree1.tre,tree_ot_3077@tree1.tre,tree_ot_2013@tree8.tre,tree_ot_783@tree1.tre,tree_ot_290@tree1.tre,tree_ot_531@tree1.tre,tree_pg_2913@tree6742.tre,tree_ot_847@tree1.tre,tree_ot_836@tree1.tre,tree_ot_782@Tr48736.tre,tree_pg_2404@tree5068.tre,tree_ot_2770@tree1.tre,TAXONOMY
